city,hdi,avg_sch_dur,gender_empwr,life_exp,pov_pop_perc
Kota Bima,75.80,10.38,69.91,70.20,8.60
Sumba Barat,63.56,6.53,69.24,66.98,28.29
Sumba Timur,65.34,6.86,64.91,64.94,30.02
Kupang,64.43,7.37,65.30,64.39,23.03
Timor Tengah Selatan,62.23,6.72,57.47,66.32,27.87
Timor Tengah Utara,63.34,7.51,51.59,66.86,22.45
Belu,62.54,7.11,75.18,64.35,15.54
Alor,61.03,8.09,60.64,61.29,21.59
Lembata,64.91,8.21,53.04,66.97,26.30
Flores Timur,64.34,7.70,57.61,65.10,10.90
Sikka,64.75,6.71,64.03,67.07,13.53
Ende,67.20,7.80,65.66,65.17,23.18
Ngada,67.76,8.37,59.22,67.96,12.48
Manggarai,64.15,7.27,65.61,66.77,20.55
Rote Ndao,62.22,7.29,48.49,64.34,27.95
Manggarai Barat,63.50,7.19,53.14,67.12,18.01
Sumba Tengah,61.01,5.96,53.09,68.32,34.62
Sumba Barat Daya,62.60,6.33,65.43,68.43,28.06
Nagekeo,65.88,7.83,52.75,67.03,12.85
Manggarai Timur,60.47,6.87,51.62,67.98,26.49
Sabu Raijua,56.66,6.33,56.04,60.23,30.52
Malaka,60.34,6.86,59.01,64.89,16.12
Kota Kupang,79.55,11.47,75.14,69.37,9.22
Sambas,67.02,6.70,61.36,68.83,8.19
Bengkayang,67.57,6.53,72.80,73.67,6.96
Landak,65.96,7.10,67.80,72.70,11.47
Mempawah,65.50,6.82,62.22,70.90,5.32
Sanggau,65.67,6.95,69.88,71.35,4.57
Ketapang,67.16,7.26,49.32,71.01,10.54
Sintang,66.70,6.89,63.55,71.62,9.65
Kapuas Hulu,65.65,7.47,62.52,72.44,9.62
Sekadau,64.34,6.60,56.27,71.65,6.11
Melawi,65.54,6.67,66.40,72.88,12.38
Kayong Utara,62.66,6.00,47.29,68.11,9.98
Kubu Raya,67.76,6.82,72.43,70.43,4.74
Kota Pontianak,79.35,10.14,66.48,72.80,4.88
Kota Singkawang,71.72,7.72,71.58,71.85,4.91
Kotawaringin Barat,72.85,8.41,64.11,70.51,4.11
Kotawaringin Timur,71.16,8.12,67.36,69.80,5.90
Kapuas,69.38,7.52,73.81,68.69,5.09
Barito Selatan,70.10,8.71,86.33,66.99,4.39
Barito Utara,70.52,8.60,85.35,71.29,4.95
Sukamara,67.95,7.91,66.33,71.49,3.16
Lamandau,70.51,8.38,71.06,69.34,3.01
Seruyan,67.57,7.93,62.83,69.25,7.19
Katingan,68.55,8.66,66.57,65.70,5.02
Pulang Pisau,68.34,8.08,70.36,67.98,4.24
Gunung Mas,70.65,9.03,88.91,70.32,4.91
Barito Timur,71.34,9.20,82.67,68.14,6.32
Murung Raya,67.89,7.46,68.10,69.47,6.00
Kota Palangka Raya,80.77,11.51,78.95,73.19,3.35
Tanah Laut,69.04,7.64,70.67,69.31,4.51
Kota Baru,68.95,7.42,71.21,69.10,4.49
Banjar,68.94,7.34,80.73,66.97,2.72
Barito Kuala,66.24,7.33,78.35,65.88,4.63
Tapin,70.13,7.75,65.16,70.23,3.41
Hulu Sungai Selatan,68.80,7.74,54.50,65.82,5.33
Hulu Sungai Tengah,68.80,7.99,77.69,65.82,5.93
Hulu Sungai Utara,65.49,7.37,70.36,63.58,6.50
Tabalong,71.78,8.78,72.30,70.33,6.01
Tanah Bumbu,70.50,7.71,67.05,70.08,4.85
Balangan,68.39,7.27,69.55,67.59,5.55
Kota Banjarmasin,77.16,9.94,79.56,70.98,4.20
Kota Banjar Baru,79.22,10.94,66.63,71.87,4.30
Paser,72.29,8.54,66.20,72.52,8.95
Kutai Barat,71.63,8.34,61.14,72.79,9.09
Kutai Kartanegara,73.78,9.10,63.74,72.21,7.20
Kutai Timur,73.49,9.18,56.35,73.03,9.48
Berau,74.88,9.25,57.66,71.94,5.04
Penajam Paser Utara,71.64,8.16,50.36,71.30,7.18
Mahakam Ulu,67.58,7.89,80.61,71.90,11.25
Kota Balikpapan,80.11,10.67,69.11,74.41,2.42
Kota Samarinda,80.20,10.47,66.29,74.17,4.59
Kota Bontang,80.09,10.73,51.99,74.18,4.22
Malinau,72.06,9.05,65.84,71.42,6.96
Bulungan,71.66,8.93,62.05,72.60,8.78
Tana Tidung,67.79,8.53,52.64,71.38,4.72
Nunukan,66.32,7.81,77.78,71.30,6.11
Kota Tarakan,76.09,9.96,59.34,73.92,6.00
Bolaang Mongondow,67.82,7.77,78.05,69.22,7.47
Minahasa,75.47,9.58,87.63,70.98,7.18
Kepulauan Sangihe,70.53,8.04,61.38,69.96,11.15
Kepulauan Talaud,68.97,9.25,68.59,70.04,9.86
Minahasa Selatan,71.68,8.85,76.20,69.80,9.26
Minahasa Utara,73.95,9.93,67.40,71.31,6.93
