city,hdi,avg_sch_dur,gender_empwr,life_exp,pov_pop_perc
Kota Bengkulu,80.35,11.78,77.58,70.04,18.09
Lampung Barat,67.50,7.85,68.21,67.43,12.92
Tanggamus,66.37,7.21,56.97,68.40,12.05
Lampung Selatan,68.22,7.68,59.40,69.20,14.31
Lampung Timur,69.34,7.59,63.42,70.61,15.24
Lampung Tengah,70.04,7.57,62.22,69.75,12.03
Lampung Utara,67.63,8.20,64.87,69.05,19.90
Way Kanan,67.19,7.39,61.46,69.27,13.07
Tulangbawang,68.23,7.23,65.94,69.88,9.35
Pesawaran,65.75,7.60,72.59,68.88,15.19
Pringsewu,69.97,8.19,67.05,69.85,10.15
Mesuji,63.52,6.61,69.27,68.04,7.47
Tulang Bawang Barat,65.93,7.13,51.46,69.88,7.75
Pesisir Barat,63.79,7.82,56.21,63.27,14.48
Kota Bandar Lampung,77.33,10.92,71.54,71.28,8.71
Kota Metro,76.77,10.64,77.02,71.55,8.68
Bangka,72.39,8.23,65.18,70.99,4.92
Belitung,72.46,8.41,53.82,70.94,6.29
Bangka Barat,69.05,7.21,64.82,69.99,2.67
Bangka Tengah,70.33,7.13,57.31,71.16,5.02
Bangka Selatan,66.54,6.42,49.29,67.90,3.36
Belitung Timur,70.84,8.15,56.74,71.90,6.60
Kota Pangkal Pinang,77.97,9.80,61.88,73.17,4.25
Karimun,71.10,7.92,64.17,70.71,6.61
Bintan,73.98,8.36,69.71,70.30,6.37
Natuna,72.63,8.72,42.02,64.81,4.42
Lingga,64.98,6.51,48.96,61.75,12.88
Kepulauan Anambas,68.48,6.91,57.74,67.06,6.44
Kota Batam,81.09,11.13,58.40,73.29,4.85
Kota Tanjung Pinang,78.73,9.99,76.13,72.02,9.03
Kep. Seribu,71.40,8.47,63.03,68.51,12.09
Kota Jakarta Selatan,84.75,11.62,75.80,74.03,2.73
Kota Jakarta Timur,82.69,11.65,74.52,74.37,3.12
Kota Jakarta Pusat,81.24,11.25,77.42,74.02,3.68
Kota Jakarta Barat,81.21,10.40,75.20,73.54,3.25
Kota Jakarta Utara,80.17,10.70,74.79,73.18,5.04
Bogor,70.65,8.29,55.73,71.01,6.66
Sukabumi,66.87,7.02,60.70,70.73,6.22
Cianjur,65.38,6.97,60.32,69.91,9.15
Bandung,72.41,8.79,65.86,73.40,5.94
Garut,66.22,7.51,68.23,71.22,8.98
Tasikmalaya,65.64,7.17,64.30,69.21,9.12
Ciamis,70.39,7.69,65.35,71.57,6.65
Kuningan,69.12,7.38,70.58,73.35,11.41
Cirebon,68.69,6.71,75.61,71.82,9.94
Majalengka,67.52,7.09,58.90,69.97,10.06
Sumedang,71.46,8.27,70.94,72.29,9.05
Indramayu,66.97,5.99,70.10,71.37,11.11
Subang,68.69,6.85,68.83,72.13,8.12
